operationId,tags,url
logAssetAuditMessage,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/assets/{assetGUID}/log-records/{callingService}
initiateEngineAction,Metadata Access Services: Open Governance Service,/servers/{serverName}/open-metadata/access-services/open-governance-service/users/{userId}/governance-engines/{governanceEngineName}/engine-actions/initiate
initiateGovernanceActionType,Metadata Access Services: Open Governance Service,/servers/{serverName}/open-metadata/access-services/open-governance-service/users/{userId}/governance-action-types/initiate
getGovernanceActionProcessGraph,Metadata Access Services: Open Governance Service,/servers/{serverName}/open-metadata/access-services/open-governance-service/users/{userId}/governance-action-processes/{processGUID}/graph
initiateGovernanceActionProcess,Metadata Access Services: Open Governance Service,/servers/{serverName}/open-metadata/access-services/open-governance-service/users/{userId}/governance-action-processes/initiate
cancelEngineAction,Metadata Access Services: Open Governance Service,/servers/{serverName}/open-metadata/access-services/open-governance-service/users/{userId}/engine-actions/{engineActionGUID}/cancel
recordCompletionStatus,Metadata Access Services: Governance Context Service,/servers/{serverName}/open-metadata/access-services/governance-context-service/users/{userId}/engine-actions/{governanceActionGUID}/completion-status
updateEngineActionStatus,Metadata Access Services: Governance Context Service,/servers/{serverName}/open-metadata/access-services/governance-context-service/users/{userId}/engine-actions/{engineActionGUID}/status/update
claimEngineAction,Metadata Access Services: Governance Context Service,/servers/{serverName}/open-metadata/access-services/governance-context-service/users/{userId}/engine-actions/{engineActionGUID}/claim
updateActionTargetStatus,Metadata Access Services: Governance Context Service,/servers/{serverName}/open-metadata/access-services/governance-context-service/users/{userId}/engine-actions/action-targets/update
getGovernanceEngineByName,Metadata Access Services: Governance Configuration Service,/servers/{serverName}/open-metadata/access-services/governance-configuration-service/users/{userId}/governance-engines/by-name
saveConnectionForAsset,Metadata Access Services: Connected Asset Services,/servers/{serverName}/open-metadata/access-services/connected-asset/users/{userId}/connections
serverToken,API: User Security Services,/servers/{serverName}/api/token
setConsistentMetadataValues,API: Valid Metadata,/servers/{serverName}/api/open-metadata/{urlMarker}/{propertyName1}/consistent-metadata-values/{propertyName2}
createUserIdentity,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities
updateUserIdentity,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/{userIdentityGUID}/update
updateSecurityGroupMembership,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/{userIdentityGUID}/security-group-memberships/reclassify
removeAllSecurityGroupMembership,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/{userIdentityGUID}/security-group-memberships/declassify
addSecurityGroupMembership,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/{userIdentityGUID}/security-group-memberships/classify
getUserIdentityByGUID,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/{userIdentityGUID}/retrieve
detachProfileIdentity,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/{userIdentityGUID}/profile-identity/{profileGUID}/detach
linkIdentityToProfile,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/{userIdentityGUID}/profile-identity/{profileGUID}/attach
deleteUserIdentity,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/{userIdentityGUID}/delete
createUserIdentityFromTemplate,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/from-template
findUserIdentities,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/by-search-string
getUserIdentitiesByName,API: Actor Manager,/servers/{serverName}/api/open-metadata/{urlMarker}/user-identities/by-name
getTechnologyTypeHierarchy,API: Automated Curation,/servers/{serverName}/api/open-metadata/{urlMarker}/technology-types/hierarchy
getTechnologyTypeElements,API: Automated Curation,/servers/{serverName}/api/open-metadata/{urlMarker}/technology-types/elements
findTechnologyTypes,API: Automated Curation,/servers/{serverName}/api/open-metadata/{urlMarker}/technology-types/by-search-string
getTechnologyTypeDetail,API: Automated Curation,/servers/{serverName}/api/open-metadata/{urlMarker}/technology-types/by-name
